IP Address		MAC Address		Vendor
------------------------------------------------------------
10.50.0.1		18:fd:74:8c:83:be		Routerboard.com
10.50.0.45		28:d0:43:d1:6d:95		AzureWave Technology Inc.
10.50.0.146		2c:98:11:36:a3:05		CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
10.50.0.211		b8:1e:a4:f0:2b:c9		Noma'lum vendor
10.50.0.182		10:3f:44:f6:77:44		Xiaomi Communications Co Ltd
10.50.0.118		50:5a:65:4b:11:79		AzureWave Technology Inc.
10.50.0.213		c8:5e:a9:7c:00:d3		Noma'lum vendor
10.50.3.51		28:d0:ea:fb:a2:11		Intel Corporate
10.50.1.238		70:a6:cc:28:85:bb		Noma'lum vendor
10.50.3.44		c4:23:60:60:71:a6		Intel Corporate
10.50.0.204		f4:6d:3f:e6:1d:1a		Intel Corporate
10.50.0.141		e0:2e:0b:83:01:67		Noma'lum vendor
10.50.1.46		c8:8a:9a:f5:42:f4		Noma'lum vendor
10.50.1.32		6c:94:66:86:d1:d4		Intel Corporate
10.50.15.171		c4:75:ab:fe:ed:ea		Intel Corporate
10.50.3.223		84:7b:57:d3:5f:8b		Noma'lum vendor
10.50.0.178		d0:39:57:30:19:d7		Liteon Technology Corporation
10.50.0.231		b8:1e:a4:c2:db:c9		Liteon Technology Corporation
10.50.1.139		e4:fd:45:ca:58:5f		Intel Corporate
10.50.0.195		a4:97:b1:6e:a4:67		Noma'lum vendor
10.50.0.173		b8:1e:a4:f9:f1:cd		Liteon Technology Corporation
10.50.0.179		10:b1:df:ca:c6:77		CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
10.50.0.132		bc:f4:d4:eb:9a:1f		CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
10.50.0.10		6a:27:33:ff:22:76		Noma'lum vendor
10.50.0.153		d6:ea:fb:0f:c5:47		Noma'lum vendor
10.50.0.167		e8:fb:1c:b7:26:73		AzureWave Technology Inc.
10.50.2.113		a0:02:a5:0a:6a:63		Intel Corporate
10.50.0.249		bc:03:58:a0:23:8c		Intel Corporate
10.50.0.172		62:e8:5d:79:0a:35		Noma'lum vendor
10.50.0.226		34:6f:24:5e:62:63		AzureWave Technology Inc.
10.50.1.68		e6:d8:bf:d5:32:2b		Noma'lum vendor
10.50.1.69		12:01:df:53:db:2f		Noma'lum vendor
10.50.1.116		be:99:0d:81:ec:88		Noma'lum vendor
10.50.0.198		f4:6a:dd:3b:53:6f		Liteon Technology Corporation
